STATE,STATE_ERP
Andhra Pradesh,Andhra Pradesh
Assam,Assam
Bihar-N,Bihar
Bihar-S,Bihar
Chattisgarh,Chattisgarh
C-UP,Uttar Pradesh
Delhi,Delhi
EAST UP,Uttar Pradesh
Goa,Goa
Gujarat,Gujarat
Haryana-1,Haryana
Haryana-2,Haryana
Himachal Pradesh,Himachal Pradesh
Jammu & Kashmir,Jammu & Kashmir
Jharkhand,Jharkhand
Karnataka,Karnataka
Kerela,Kerela
Madhya Pradesh,Madhya Pradesh
MH-1,Maharashtra
MH-2,Maharashtra
Odisha,Odisha
Punjab-N,Punjab
Punjab-S,Punjab
Rajasthan-A,Rajasthan
Rajasthan-B,Rajasthan
Rajasthan-C,Rajasthan
Tamil Nadu,Tamil Nadu
Telangana,Telangana
UP-East,Uttar Pradesh
UP-West,Uttar Pradesh
Uttranchal,Uttranchal
West Bengal,West Bengal
WEST UP,Uttar Pradesh
